groups;name_group;num;new_name_group
nosology;Эссенциальная [первичная] гипертензия;547;эссенциальная [первичная] гипертензия
nosology;Миалгия;236;миалгия
nosology;Застойная сердечная недостаточность;234;застойная сердечная недостаточность
nosology;Боль в суставе;232;боль в суставе
nosology;Стенокардия [грудная жаба];207;стенокардия [грудная жаба]
nosology;Головная боль;187;головная боль
nosology;Инфаркт мозга;183;инфаркт мозга
nosology;Острая инфекция верхних дыхательных путей неуточненная;163;острая инфекция верхних дыхательных путей неуточненная
nosology;Мигрень;140;мигрень
nosology;Острый фарингит;136;острый фарингит
nosology;Острый тонзиллит;122;острый тонзиллит
nosology;Полиартроз;119;полиартроз
nosology;Грипп, вызванный идентифицированным вирусом гриппа;115;грипп, вызванный идентифицированным вирусом гриппа
nosology;Острый назофарингит [насморк];113;острый назофарингит [насморк]
nosology;Острый инфаркт миокарда;112;острый инфаркт миокарда
nosology;Подагра;110;подагра
nosology;Смешанная гиперлипидемия;101;смешанная гиперлипидемия
nosology;Чистая гиперхолестеринемия;101;чистая гиперхолестеринемия
nosology;Запор;97;запор
nosology;Серопозитивный ревматоидный артрит;97;серопозитивный ревматоидный артрит
nosology;Острый синусит;83;острый синусит
nosology;Острый ларингит и трахеит;78;острый ларингит и трахеит
nosology;Изжога;75;изжога
nosology;Расстройства личности и поведения, обусловленные болезнью, повреждением или дисфункцией головного мозга;73;расстройства личности и поведения, обусловленные болезнью, повреждением или дисфункцией головного мозга
nosology;Диспепсия;71;диспепсия
nosology;Язва желудка;69;язва желудка
nosology;Неврастения;68;неврастения
nosology;Артроз неуточненный;66;артроз неуточненный
nosology;Геморрой и перианальный венозный тромбоз;62;геморрой и перианальный венозный тромбоз
nosology;Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2);62;гломерулярные поражения при сахарном диабете (e10-e14+ с общим четвертым знаком .2)
nosology;Атеросклероз;60;атеросклероз
nosology;Гастроэзофагеальный рефлюкс с эзофагитом;60;гастроэзофагеальный рефлюкс с эзофагитом
nosology;Тошнота и рвота;60;тошнота и рвота
nosology;Чистая гиперглицеридемия;60;чистая гиперглицеридемия
nosology;Сосудистая деменция;54;сосудистая деменция
nosology;Язва двенадцатиперстной кишки;53;язва двенадцатиперстной кишки
nosology;Острый ларингит;52;острый ларингит
nosology;Гастроэзофагеальный рефлюкс;48;гастроэзофагеальный рефлюкс
nosology;Гнойный и неуточненный средний отит;48;гнойный и неуточненный средний отит
nosology;Внутричерепная травма;47;внутричерепная травма
nosology;Кандидозный стоматит;47;кандидозный стоматит
nosology;Преходящие транзиторные церебральные ишемические приступы [атаки] и родственные синдромы;47;преходящие транзиторные церебральные ишемические приступы [атаки] и родственные синдромы
nosology;Хронический ринит, назофарингит и фарингит;46;хронический ринит, назофарингит и фарингит
nosology;Остеохондроз позвоночника;45;остеохондроз позвоночника
nosology;Соматоформная дисфункция вегетативной нервной системы;45;соматоформная дисфункция вегетативной нервной системы
nosology;Хронический тонзиллит;45;хронический тонзиллит
nosology;Головокружение и нарушение устойчивости;44;головокружение и нарушение устойчивости
nosology;Нестабильная стенокардия;43;нестабильная стенокардия
nosology;Другие уточненные изменения зубов и их опорного аппарата;42;другие уточненные изменения зубов и их опорного аппарата
nosology;Ишемическая болезнь сердца;42;ишемическая болезнь сердца
nosology;Стенокардия с документально подтвержденным спазмом;41;стенокардия с документально подтвержденным спазмом
nosology;Хроническая почечная недостаточность;40;хроническая почечная недостаточность
nosology;Хронический фарингит;40;хронический фарингит
nosology;Венозная недостаточность (хроническая) (периферическая);39;венозная недостаточность (хроническая) (периферическая)
nosology;Холецистит;39;холецистит
nosology;Лихорадка неясного происхождения;38;лихорадка неясного происхождения
nosology;Трещина и свищ области заднего прохода и прямой кишки;35;трещина и свищ области заднего прохода и прямой кишки
nosology;Мокрота;34;мокрота
nosology;Варикозное расширение вен нижних конечностей с язвой и воспалением;33;варикозное расширение вен нижних конечностей с язвой и воспалением
nosology;Другие уточненные профилактические меры;33;другие уточненные профилактические меры
nosology;Аллергический ринит, вызванный пыльцой растений;31;аллергический ринит, вызванный пыльцой растений
nosology;Острый бронхит;31;острый бронхит
nosology;Синдром раздраженного кишечника;30;синдром раздраженного кишечника
nosology;Функциональная диарея;30;функциональная диарея
nosology;Кашель;29;кашель
nosology;Кистозный фиброз;29;кистозный фиброз
nosology;Эзофагит;29;эзофагит
nosology;Кишечные инфекции;28;кишечные инфекции
nosology;Наджелудочковая тахикардия;28;наджелудочковая тахикардия
nosology;Артрит неуточненный;27;артрит неуточненный
nosology;Фиброз и цирроз печени;27;фиброз и цирроз печени
nosology;Гастрит и дуоденит;26;гастрит и дуоденит
nosology;Гингивит и болезни пародонта;26;гингивит и болезни пародонта
nosology;Диарея и гастроэнтерит предположительно инфекционного происхождения;26;диарея и гастроэнтерит предположительно инфекционного происхождения
nosology;Другие сальмонеллезные инфекции;26;другие сальмонеллезные инфекции
nosology;Спондилез;25;спондилез
nosology;Подготовительные процедуры для последующего лечения, не классифицированные в других рубриках;24;подготовительные процедуры для последующего лечения, не классифицированные в других рубриках
nosology;Психическое и поведенческое расстройство, вызванное употреблением алкоголя. Абстинентное состояние;24;психическое и поведенческое расстройство, вызванное употреблением алкоголя. абстинентное состояние
nosology;Другие аллергические риниты;23;другие аллергические риниты
nosology;Инфекции, вызванные вирусом герпеса [herpes simplex];23;инфекции, вызванные вирусом герпеса [herpes simplex]
nosology;Шигеллез;23;шигеллез
nosology;Другие уточненные нарушения внутренней секреции поджелудочной железы;22;другие уточненные нарушения внутренней секреции поджелудочной железы
nosology;Хронический вирусный гепатит B без дельта-агента;22;хронический вирусный гепатит b без дельта-агента
nosology;Аногенитальная герпетическая вирусная инфекция [herpes simplex];21;аногенитальная герпетическая вирусная инфекция [herpes simplex]
nosology;Реноваскулярная гипертензия;21;реноваскулярная гипертензия
nosology;Хронический вирусный гепатит C;21;хронический вирусный гепатит c
nosology;Алкогольная болезнь печени;20;алкогольная болезнь печени
nosology;Миозит;20;миозит
nosology;Пептическая язва неуточненной локализации;20;пептическая язва неуточненной локализации
nosology;Хронический бронхит неуточненный;19;хронический бронхит неуточненный
nosology;Болезни органов пищеварения, осложняющие беременность, деторождение и послеродовой период;18;болезни органов пищеварения, осложняющие беременность, деторождение и послеродовой период
nosology;Трихомониаз;18;трихомониаз
nosology;Хронический гепатит, не классифицированный в других рубриках;18;хронический гепатит, не классифицированный в других рубриках
nosology;Геморрой;17;геморрой
nosology;Другие и неуточненные боли в области живота;17;другие и неуточненные боли в области живота
nosology;Метеоризм и родственные состояния;17;метеоризм и родственные состояния
nosology;Хронический нефритический синдром;17;хронический нефритический синдром
nosology;Бактериальная пневмония, не классифицированная в других рубриках;16;бактериальная пневмония, не классифицированная в других рубриках
nosology;Воспаление и закупорка слуховой [евстахиевой] трубы;16;воспаление и закупорка слуховой [евстахиевой] трубы
nosology;Острый гепатит A;16;острый гепатит a
nosology;Острый гепатит B;16;острый гепатит b
nosology;Пародонтоз;16;пародонтоз
nosology;Перитонит;16;перитонит
nosology;Фибрилляция и трепетание предсердий;16;фибрилляция и трепетание предсердий
nosology;Аногенитальный зуд неуточненный;15;аногенитальный зуд неуточненный
nosology;Варикозное расширение вен нижних конечностей;15;варикозное расширение вен нижних конечностей
nosology;Гонартроз [артроз коленного сустава];15;гонартроз [артроз коленного сустава]
nosology;Шизофрения;15;шизофрения
nosology;Болезнь Паркинсона;14;болезнь паркинсона
nosology;Другие уточненные болезни заднего прохода и прямой кишки;14;другие уточненные болезни заднего прохода и прямой кишки
nosology;Желудочковая тахикардия;14;желудочковая тахикардия
nosology;Синдром Рейно;14;синдром рейно
nosology;Цистит;14;цистит
nosology;Болезнь Альцгеймера;13;болезнь альцгеймера
nosology;Боль в горле;13;боль в горле
nosology;Доброкачественное новообразование надпочечника;13;доброкачественное новообразование надпочечника
nosology;Острый гепатит C;13;острый гепатит c
nosology;Последствия цереброваскулярных болезней;13;последствия цереброваскулярных болезней
nosology;Синдром преждевременного возбуждения;13;синдром преждевременного возбуждения
nosology;Болезнь Крона [регионарный энтерит];12;болезнь крона [регионарный энтерит]
nosology;Боли, локализованные в верхней части живота;12;боли, локализованные в верхней части живота
nosology;Вазомоторный и аллергический ринит;12;вазомоторный и аллергический ринит
nosology;Вторичная гипертензия;12;вторичная гипертензия
nosology;Деменция неуточненная;12;деменция неуточненная
nosology;Ожирение;12;ожирение
nosology;Пиодермия;12;пиодермия
nosology;Тиреотоксикоз [гипертиреоз];12;тиреотоксикоз [гипертиреоз]
nosology;Флебит и тромбофлебит;12;флебит и тромбофлебит
nosology;Флебит и тромбофлебит поверхностных сосудов нижних конечностей;12;флебит и тромбофлебит поверхностных сосудов нижних конечностей
nosology;Эмфизема;12;эмфизема
nosology;Язвенный колит;12;язвенный колит
nosology;Амебиаз;11;амебиаз
nosology;Вазомоторный ринит;11;вазомоторный ринит
nosology;Гипокалиемия;11;гипокалиемия
nosology;Диабетическая ретинопатия (E10-E14+ с общим четвертым знаком .3);11;диабетическая ретинопатия (e10-e14+ с общим четвертым знаком .3)
nosology;Другие бактериальные пищевые отравления;11;другие бактериальные пищевые отравления
nosology;Желчнокаменная болезнь [холелитиаз];11;желчнокаменная болезнь [холелитиаз]
nosology;Коклюш;11;коклюш
nosology;Синдром прорезывания зубов;11;синдром прорезывания зубов
nosology;Эпилепсия;11;эпилепсия
nosology;Болезни мягких тканей, связанные с нагрузкой, перегрузкой и давлением;10;болезни мягких тканей, связанные с нагрузкой, перегрузкой и давлением
nosology;Болезнь периферических сосудов неуточненная;10;болезнь периферических сосудов неуточненная
nosology;Гастроэзофагеальный рефлюкс без эзофагита;10;гастроэзофагеальный рефлюкс без эзофагита
nosology;Дисфункция после колостомии и энтеростомии;10;дисфункция после колостомии и энтеростомии
nosology;Другие болезни периферических сосудов;10;другие болезни периферических сосудов
nosology;Другие формы стенокардии;10;другие формы стенокардии
nosology;Острые инфекции верхних дыхательных путей множественной и неуточненной локализации;10;острые инфекции верхних дыхательных путей множественной и неуточненной локализации
nosology;Токсическое поражение печени;10;токсическое поражение печени
nosology;Хронический вирусный гепатит;10;хронический вирусный гепатит
nosology;Хронический ларингит и ларинготрахеит;10;хронический ларингит и ларинготрахеит
nosology;Анкилозирующий спондилит;9;анкилозирующий спондилит
nosology;Другие уточненные болезни кишечника;9;другие уточненные болезни кишечника
nosology;Другие уточненные функциональные кишечные нарушения;9;другие уточненные функциональные кишечные нарушения
nosology;Жиардиаз [лямблиоз];9;жиардиаз [лямблиоз]
nosology;Злокачественное новообразование поджелудочной железы;9;злокачественное новообразование поджелудочной железы
nosology;Коксартроз [артроз тазобедренного сустава];9;коксартроз [артроз тазобедренного сустава]
nosology;Окклюзии сосудов сетчатки;9;окклюзии сосудов сетчатки
nosology;Отек, не классифицированный в других рубриках;9;отек, не классифицированный в других рубриках
nosology;Переутомление;9;переутомление
nosology;Псориатические и энтеропатические артропатии;9;псориатические и энтеропатические артропатии
nosology;Хронический холецистит;9;хронический холецистит
nosology;Энтероколит, вызванный Clostridium difficile;9;энтероколит, вызванный clostridium difficile
nosology;Вывих, растяжение и перенапряжение капсульно-связочного аппаратата сустава неуточненной области тела;8;вывих, растяжение и перенапряжение капсульно-связочного аппаратата сустава неуточненной области тела
nosology;Глаукома;8;глаукома
nosology;Другая хроническая обструктивная легочная болезнь;8;другая хроническая обструктивная легочная болезнь
nosology;Корь;8;корь
nosology;Лимфоотек, не классифицированный в других рубриках;8;лимфоотек, не классифицированный в других рубриках
nosology;Нарушение сна неуточненное;8;нарушение сна неуточненное
nosology;Невралгия и неврит неуточненные;8;невралгия и неврит неуточненные
nosology;Невротическое расстройство неуточненное;8;невротическое расстройство неуточненное
nosology;Острый ларинготрахеит;8;острый ларинготрахеит
nosology;Поверхностная травма неуточненной области тела;8;поверхностная травма неуточненной области тела
nosology;Раздражительность и озлобление;8;раздражительность и озлобление
nosology;Реактивные артропатии;8;реактивные артропатии
nosology;Туберкулез органов дыхания, подтвержденный бактериологически и гистологически;8;туберкулез органов дыхания, подтвержденный бактериологически и гистологически
nosology;Фоновая ретинопатия и ретинальные сосудистые изменения;8;фоновая ретинопатия и ретинальные сосудистые изменения
nosology;Болезнь сустава неуточненная;7;болезнь сустава неуточненная
nosology;Боль в области сердца;7;боль в области сердца
nosology;Внутримозговое кровоизлияние;7;внутримозговое кровоизлияние
nosology;Другая и неуточненная преждевременная деполяризация;7;другая и неуточненная преждевременная деполяризация
nosology;Другие бактериальные кишечные инфекции;7;другие бактериальные кишечные инфекции
nosology;Другие болезни кишечника;7;другие болезни кишечника
nosology;Другие сезонные аллергические риниты;7;другие сезонные аллергические риниты
nosology;Ипохондрическое расстройство;7;ипохондрическое расстройство
nosology;Нарушения вестибулярной функции;7;нарушения вестибулярной функции
nosology;Недостаточность других уточненных элементов питания;7;недостаточность других уточненных элементов питания
nosology;Недостаточность магния;7;недостаточность магния
nosology;Постфлебитический синдром;7;постфлебитический синдром
nosology;Стрессовое состояние, не классифицированное в других рубриках;7;стрессовое состояние, не классифицированное в других рубриках
nosology;Энцефалопатия неуточненная;7;энцефалопатия неуточненная
nosology;Адгезивный капсулит плеча;6;адгезивный капсулит плеча
nosology;Аногенитальные (венерические) бородавки;6;аногенитальные (венерические) бородавки
nosology;Анорексия;6;анорексия
nosology;Болезнь Рейтера;6;болезнь рейтера
nosology;Гемангиома любой локализации;6;гемангиома любой локализации
nosology;Грипп, вирус не идентифицирован;6;грипп, вирус не идентифицирован
nosology;Деменция при болезни Альцгеймера (G30.-+);6;деменция при болезни альцгеймера (g30.-+)
nosology;Дисфункция гипоталамуса, не классифицированная в других рубриках;6;дисфункция гипоталамуса, не классифицированная в других рубриках
nosology;Другие инфекции Венсана;6;другие инфекции венсана
nosology;Другие уточненные невротические расстройства;6;другие уточненные невротические расстройства
nosology;Другие уточненные поражения мочевого пузыря;6;другие уточненные поражения мочевого пузыря
nosology;Другие уточненные послехирургические состояния;6;другие уточненные послехирургические состояния
nosology;Другой уточненный дерматит;6;другой уточненный дерматит
nosology;Злокачественное новообразование мозгового слоя надпочечника;6;злокачественное новообразование мозгового слоя надпочечника
nosology;Крапивница;6;крапивница
nosology;Локализованный отек;6;локализованный отек
nosology;Мочекаменная болезнь;6;мочекаменная болезнь
nosology;Недержание мочи неуточненное;6;недержание мочи неуточненное
nosology;Нервная анорексия;6;нервная анорексия
nosology;Острый панкреатит;6;острый панкреатит
nosology;Тиф и паратиф;6;тиф и паратиф
nosology;Холера;6;холера
nosology;Хронический ринит;6;хронический ринит
nosology;Астма;5;астма
nosology;Гиперальдостеронизм;5;гиперальдостеронизм
nosology;Гломерулярные поражения при других болезнях, классифицированных в других рубриках;5;гломерулярные поражения при других болезнях, классифицированных в других рубриках
nosology;Другие уточненные миопатии;5;другие уточненные миопатии
nosology;Другие уточненные неинфекционные болезни лимфатических сосудов и лимфатических узлов;5;другие уточненные неинфекционные болезни лимфатических сосудов и лимфатических узлов
nosology;Закупорка желчного протока;5;закупорка желчного протока
nosology;Митохондриальная миопатия, не классифицированная в других рубриках;5;митохондриальная миопатия, не классифицированная в других рубриках
nosology;Нарушение активности и внимания;5;нарушение активности и внимания
nosology;Нарушения обмена кальция;5;нарушения обмена кальция
nosology;Острая боль;5;острая боль
nosology;Перелом в неуточненной области тела;5;перелом в неуточненной области тела
nosology;Радикулопатия;5;радикулопатия
nosology;Синдром Мендельсона;5;синдром мендельсона
nosology;Стоматит и родственные поражения;5;стоматит и родственные поражения
nosology;Хламидийные инфекции нижних отделов мочеполового тракта;5;хламидийные инфекции нижних отделов мочеполового тракта
nosology;Эндометриоз;5;эндометриоз
nosology;Бронхоэктатическая болезнь;4;бронхоэктатическая болезнь
nosology;Депрессивный эпизод;4;депрессивный эпизод
nosology;Другая септицемия;4;другая септицемия
nosology;Другие периферические головокружения;4;другие периферические головокружения
nosology;Другие уточненные болезни желудка и двенадцатиперстной кишки;4;другие уточненные болезни желудка и двенадцатиперстной кишки
nosology;Другие уточненные виды недержания мочи;4;другие уточненные виды недержания мочи
nosology;Кандидоз;4;кандидоз
nosology;Менингококковая инфекция;4;менингококковая инфекция
nosology;Недостаточность витаминов группы B неуточненная;4;недостаточность витаминов группы b неуточненная
nosology;Несахарный диабет;4;несахарный диабет
nosology;Нефротический синдром;4;нефротический синдром
nosology;Облитерирующий тромбангиит [болезнь Бюргера];4;облитерирующий тромбангиит [болезнь бюргера]
nosology;Опоясывающий лишай [herpes zoster];4;опоясывающий лишай [herpes zoster]
nosology;Остеомиелит;4;остеомиелит
nosology;Острый холецистит;4;острый холецистит
nosology;Оталгия;4;оталгия
nosology;Периферическая ангиопатия при болезнях, классифицированных в других рубриках;4;периферическая ангиопатия при болезнях, классифицированных в других рубриках
nosology;Печеночная недостаточность, не классифицированная в других рубриках;4;печеночная недостаточность, не классифицированная в других рубриках
nosology;Псориаз;4;псориаз
nosology;Расстройство режима сна и бодрствования неорганической этиологии;4;расстройство режима сна и бодрствования неорганической этиологии
nosology;Реакция на тяжелый стресс и нарушения адаптации;4;реакция на тяжелый стресс и нарушения адаптации
nosology;Рекуррентное депрессивное расстройство;4;рекуррентное депрессивное расстройство
nosology;Синдром запястного канала;4;синдром запястного канала
nosology;Синовиты и теносиновиты;4;синовиты и теносиновиты
nosology;Скарлатина;4;скарлатина
nosology;Стрептококковая септицемия;4;стрептококковая септицемия
nosology;Хронический синусит;4;хронический синусит
nosology;Церебральный атеросклероз;4;церебральный атеросклероз
nosology;Агранулоцитоз;3;агранулоцитоз
nosology;Аденовирусы как причина болезней, классифицированных в других рубриках;3;аденовирусы как причина болезней, классифицированных в других рубриках
nosology;Аллергическая пурпура;3;аллергическая пурпура
nosology;Бактериальная кишечная инфекция неуточненная;3;бактериальная кишечная инфекция неуточненная
nosology;Бактериальное пищевое отравление неуточненное;3;бактериальное пищевое отравление неуточненное
nosology;Вирусные бородавки;3;вирусные бородавки
nosology;Воспалительные болезни предстательной железы;3;воспалительные болезни предстательной железы
nosology;Герпетическая болезнь глаз;3;герпетическая болезнь глаз
nosology;Головная боль напряженного типа;3;головная боль напряженного типа
nosology;Дегенерация сосудистой оболочки глаза;3;дегенерация сосудистой оболочки глаза
nosology;Дорсалгия;3;дорсалгия
nosology;Другая постоянная боль;3;другая постоянная боль
nosology;Другие артрозы;3;другие артрозы
nosology;Другие болезни капилляров;3;другие болезни капилляров
nosology;Другие бурсопатии;3;другие бурсопатии
nosology;Другие гастриты;3;другие гастриты
nosology;Другие острые конъюнктивиты;3;другие острые конъюнктивиты
nosology;Идиопатическая тромбоцитопеническая пурпура;3;идиопатическая тромбоцитопеническая пурпура
nosology;Иммунодефицит неуточненный;3;иммунодефицит неуточненный
nosology;Инсулинзависимый сахарный диабет;3;инсулинзависимый сахарный диабет
nosology;Инсулинзависимый сахарный диабет с кетоацидозом;3;инсулинзависимый сахарный диабет с кетоацидозом
nosology;Инсулинзависимый сахарный диабет с комой;3;инсулинзависимый сахарный диабет с комой
nosology;Инсулиннезависимый сахарный диабет;3;инсулиннезависимый сахарный диабет
nosology;Инсулиннезависимый сахарный диабет с кетоацидозом;3;инсулиннезависимый сахарный диабет с кетоацидозом
nosology;Инсулиннезависимый сахарный диабет с комой;3;инсулиннезависимый сахарный диабет с комой
nosology;Ишиас;3;ишиас
nosology;Кардиомиопатия;3;кардиомиопатия
nosology;Лимфангит;3;лимфангит
nosology;Нарушение сердечного ритма неуточненное;3;нарушение сердечного ритма неуточненное
nosology;Нарушения обмена меди;3;нарушения обмена меди
nosology;Острый трахеит;3;острый трахеит
nosology;Отравление сердечными гликозидами и препаратами аналогичного действия;3;отравление сердечными гликозидами и препаратами аналогичного действия
nosology;Последствия травм головы;3;последствия травм головы
nosology;Респираторно-синцитиальный вирус как причина болезней, классифицированных в других рубриках;3;респираторно-синцитиальный вирус как причина болезней, классифицированных в других рубриках
nosology;Ретинальное кровоизлияние;3;ретинальное кровоизлияние
nosology;Рожа;3;рожа
nosology;Судорога и спазм;3;судорога и спазм
nosology;Сыпной тиф;3;сыпной тиф
nosology;Токсическое действие мыл и детергентов;3;токсическое действие мыл и детергентов
nosology;Угри;3;угри
nosology;Укачивание при движении;3;укачивание при движении
nosology;Фобические тревожные расстройства;3;фобические тревожные расстройства
nosology;Хламидийные инфекции органов малого таза и других мочеполовых органов;3;хламидийные инфекции органов малого таза и других мочеполовых органов
nosology;Холангит;3;холангит
nosology;Хронический конъюнктивит;3;хронический конъюнктивит
nosology;Энтеропатогенная инфекция, вызванная Escherichia coli;3;энтеропатогенная инфекция, вызванная escherichia coli
nosology;Абсцесс кожи, фурункул и карбункул;2;абсцесс кожи, фурункул и карбункул
nosology;Алкогольная полиневропатия;2;алкогольная полиневропатия
nosology;Анальгезирующие, жаропонижающие и противовоспалительные средства;2;анальгезирующие, жаропонижающие и противовоспалительные средства
nosology;Асфиксия;2;асфиксия
nosology;Болезни голосовых складок и гортани, не классифицированные в других рубриках;2;болезни голосовых складок и гортани, не классифицированные в других рубриках
nosology;Болезни пульпы и периапикальных тканей;2;болезни пульпы и периапикальных тканей
nosology;Болезнь Меньера;2;болезнь меньера
nosology;Бруцеллез;2;бруцеллез
nosology;Вагинит, вульвит и вульвовагинит при инфекционных и паразитарных болезнях, классифицированных в других рубриках;2;вагинит, вульвит и вульвовагинит при инфекционных и паразитарных болезнях, классифицированных в других рубриках
nosology;Вирусные и другие уточненные кишечные инфекции;2;вирусные и другие уточненные кишечные инфекции
nosology;Врожденная инфекция, вызванная вирусом простого герпеса [herpes simplex];2;врожденная инфекция, вызванная вирусом простого герпеса [herpes simplex]
nosology;Вторичная дисменорея;2;вторичная дисменорея
nosology;Герпетический гингивостоматит и фаринготонзиллит;2;герпетический гингивостоматит и фаринготонзиллит
nosology;Гипертензивная энцефалопатия;2;гипертензивная энцефалопатия
nosology;Гипертрофия аденоидов;2;гипертрофия аденоидов
nosology;Дегенерация макулы и заднего полюса;2;дегенерация макулы и заднего полюса
nosology;Дисфония;2;дисфония
nosology;Дорсалгия неуточненная;2;дорсалгия неуточненная
nosology;Другие атопические дерматиты;2;другие атопические дерматиты
nosology;Другие неинфекционные гастроэнтериты и колиты;2;другие неинфекционные гастроэнтериты и колиты
nosology;Другие острые вирусные гепатиты;2;другие острые вирусные гепатиты
nosology;Другие спондилопатии;2;другие спондилопатии
nosology;Другие уточненные бактериальные кишечные инфекции;2;другие уточненные бактериальные кишечные инфекции
nosology;Другие уточненные виды недостаточности питания;2;другие уточненные виды недостаточности питания
nosology;Другие уточненные нарушения сердечного ритма;2;другие уточненные нарушения сердечного ритма
nosology;Другие хронические панкреатиты;2;другие хронические панкреатиты
nosology;Задержка мочи;2;задержка мочи
nosology;Задержка развития, обусловленная белково-энергетической недостаточностью;2;задержка развития, обусловленная белково-энергетической недостаточностью
nosology;Злокачественная тучноклеточная опухоль;2;злокачественная тучноклеточная опухоль
nosology;Кардиогенный шок;2;кардиогенный шок
nosology;Кератоконъюнктивит;2;кератоконъюнктивит
nosology;Левожелудочковая недостаточность;2;левожелудочковая недостаточность
nosology;Наружный отит;2;наружный отит
nosology;Недомогание и утомляемость;2;недомогание и утомляемость
nosology;Неинфекционный гастроэнтерит и колит неуточненный;2;неинфекционный гастроэнтерит и колит неуточненный
